Gene	MutSig(Q-value)	# Mut	#Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PGLYRP3		1	1	499	0.2%	No
PGLYRP2		3	3	499	0.6%	No
TFRC		1	1	499	0.2%	Yes
HTR4		1	1	499	0.2%	No
PTPDC1		1	1	499	0.2%	No
CRHBP		2	2	499	0.4%	No
HTR6		2	2	499	0.4%	No
CAPNS1		2	2	499	0.4%	No
SCP2		3	2	499	0.4%	No
LURAP1L		3	3	499	0.6%	No
BBX		2	2	499	0.4%	No
PRKACA		2	2	499	0.4%	Yes
SPATA31G1		1	1	499	0.2%	No
ZNF17		1	1	499	0.2%	No
ZNF18		3	2	499	0.4%	No
ZNF19		2	2	499	0.4%	No
SDS		1	1	499	0.2%	No
UNC5A		1	1	499	0.2%	No
UNC5B		5	5	499	1.0%	No
SECISBP2		1	1	499	0.2%	No
RC3H1		2	2	499	0.4%	No
INSYN1		1	1	499	0.2%	No
UNC5D		3	3	499	0.6%	No
ZNF14		1	1	499	0.2%	No
RC3H2		2	2	499	0.4%	No
ZNF16		1	1	499	0.2%	No
BCR		2	2	499	0.4%	Yes
LARS2		2	2	499	0.4%	No
SCO1		1	1	499	0.2%	No
TFR2		1	1	499	0.2%	No
LARS1		3	3	499	0.6%	No
DDIT4		2	2	499	0.4%	No
ORAI3		1	1	499	0.2%	No
AGTR1		3	3	499	0.6%	No
HOATZ		1	1	499	0.2%	No
SPATA31H1		4	4	499	0.8%	No
SF1		1	1	499	0.2%	No
ZNF28		3	3	499	0.6%	No
UNC119B		1	1	499	0.2%	No
COL13A1		1	1	499	0.2%	No
SHMT2		1	1	499	0.2%	No
AASDH		2	2	499	0.4%	No
SHMT1		1	1	499	0.2%	No
NPRL3		1	1	499	0.2%	No
ZNF20		1	1	499	0.2%	No
ZNF23		2	2	499	0.4%	No
ZNF24		1	1	499	0.2%	Yes
ADAMTS12		3	3	499	0.6%	No
ADAMTS10		5	3	499	0.6%	No
ADAMTS16		6	5	499	1.0%	No
ADAMTS15		2	2	499	0.4%	No
ADAMTS14		3	3	499	0.6%	No
ADAMTS13		4	4	499	0.8%	No
LARP1		7	6	499	1.2%	No
RDH12		1	1	499	0.2%	No
ADAMTS19		5	5	499	1.0%	No
RDH10		1	1	499	0.2%	No
ADAMTS18		3	3	499	0.6%	No
ADAMTS17		3	2	499	0.4%	No
RDH16		1	1	499	0.2%	No
GSTM3		1	1	499	0.2%	No
GSTM2		2	2	499	0.4%	No
PRPF38B		2	2	499	0.4%	No
NEBL		4	3	499	0.6%	No
ZNF34		1	1	499	0.2%	No
L1CAM		7	7	499	1.4%	No
ZNF35		2	2	499	0.4%	No
LARP4		3	3	499	0.6%	No
DHFR		2	2	499	0.4%	No
MOV10		3	3	499	0.6%	No
PPFIBP1		5	4	499	0.8%	Yes
PPFIBP2		5	3	499	0.6%	No
FXYD3		1	1	499	0.2%	No
STRC		5	5	499	1.0%	No
ZNF30		3	2	499	0.4%	No
STRN		2	1	499	0.2%	Yes
L1TD1		1	1	499	0.2%	No
DZIP3		2	2	499	0.4%	No
GSTM5		1	1	499	0.2%	No
KCNC1		3	3	499	0.6%	No
KCNC3		1	1	499	0.2%	No
KCNC4		3	3	499	0.6%	No
PRKAG1		3	3	499	0.6%	No
ZNF43		2	2	499	0.4%	No
ZNF44		2	2	499	0.4%	No
ZNF45		1	1	499	0.2%	No
FRG2B		1	1	499	0.2%	No
PRKAG3		1	1	499	0.2%	No
SHD		1	1	499	0.2%	No
MMP21		1	1	499	0.2%	No
ZNF48		3	3	499	0.6%	No
MMP20		1	1	499	0.2%	No
NPAP1		4	4	499	0.8%	No
M1AP		1	1	499	0.2%	No
SHE		2	2	499	0.4%	No
SHH		2	2	499	0.4%	No
MMP25		1	1	499	0.2%	No
MMP24		1	1	499	0.2%	No
MMP26		3	3	499	0.6%	No
ZNF41		1	1	499	0.2%	No
NEFM		2	2	499	0.4%	No
STUM		1	1	499	0.2%	No
MYBPC3		3	3	499	0.6%	No
APC2		3	2	499	0.4%	No
MYBPC1		2	2	499	0.4%	No
MYBPC2		5	5	499	1.0%	No
KCND2		2	2	499	0.4%	No
GSTO2		1	1	499	0.2%	No
KCND3		4	4	499	0.8%	No
GSTO1		2	2	499	0.4%	No
ZNF57		2	1	499	0.2%	No
MMP12		1	1	499	0.2%	No
MMP11		2	2	499	0.4%	No
MMP14		1	1	499	0.2%	No
MMP13		1	1	499	0.2%	No
MMP16		2	2	499	0.4%	No
PTRH2		1	1	499	0.2%	No
MMP17		2	2	499	0.4%	No
RAPGEF1		4	4	499	0.8%	No
MMP19		2	2	499	0.4%	No
RAPGEF2		2	2	499	0.4%	No
CRYAA		1	1	499	0.2%	No
RAPGEF6		5	5	499	1.0%	No
RAPGEF3		1	1	499	0.2%	No
RAPGEF4		3	3	499	0.6%	No
TRUB1		2	2	499	0.4%	No
TRUB2		2	2	499	0.4%	No
PKN3		2	1	499	0.2%	No
GSTP1		1	1	499	0.2%	No
KCNA1		1	1	499	0.2%	No
SYNPO2		2	2	499	0.4%	No
KCNA2		1	1	499	0.2%	No
KCNA3		6	5	499	1.0%	No
ADAM22		1	1	499	0.2%	No
KCNA4		2	2	499	0.4%	No
ADAM21		1	1	499	0.2%	No
KCNA5		3	3	499	0.6%	No
ADAM20		4	3	499	0.6%	No
KCNA6		2	2	499	0.4%	No
KCNA7		2	2	499	0.4%	No
SDAD1		1	1	499	0.2%	No
ADAM29		8	8	499	1.6%	No
ADAM28		3	3	499	0.6%	No
ADAM23		5	5	499	1.0%	No
PLAGL2		1	1	499	0.2%	No
RICTOR		1	1	499	0.2%	Yes
SPDEF		1	1	499	0.2%	No
MBD3		2	2	499	0.4%	No
MBD4		2	2	499	0.4%	Yes
MBD5		1	1	499	0.2%	No
MBD6		2	2	499	0.4%	Yes
PKLR		1	1	499	0.2%	No
BIK		1	1	499	0.2%	No
KCNB1		5	5	499	1.0%	No
MBD1		3	3	499	0.6%	No
KCNB2		7	7	499	1.4%	No
SCTR		3	3	499	0.6%	No
BMP8B		1	1	499	0.2%	No
ZNF76		1	1	499	0.2%	No
BBOX1		2	2	499	0.4%	No
ZNF77		1	1	499	0.2%	No
ADAM30		1	1	499	0.2%	No
ZNF79		1	1	499	0.2%	No
TARBP2		1	1	499	0.2%	No
ARCN1		1	1	499	0.2%	No
TARBP1		4	3	499	0.6%	No
ZNF71		2	2	499	0.4%	No
ZNF74		2	1	499	0.2%	No
PKN2		4	3	499	0.6%	No
PKN1		3	3	499	0.6%	No
KCNG1		2	2	499	0.4%	No
KCNG2		3	3	499	0.6%	No
MTCH2		1	1	499	0.2%	No
KCNG4		3	2	499	0.4%	No
RASL11B		1	1	499	0.2%	No
FBXO27		1	1	499	0.2%	No
PDCD5		1	1	499	0.2%	No
FBXO28		1	1	499	0.2%	No
GOLIM4		3	3	499	0.6%	No
IL1RAP		2	2	499	0.4%	No
MSI2		1	1	499	0.2%	Yes
APEH		2	2	499	0.4%	No
FBXO21		2	2	499	0.4%	No
FADS3		2	2	499	0.4%	No
POTEM		7	7	499	1.4%	No
SLK		2	2	499	0.4%	No
FNTA		1	1	499	0.2%	No
POTEH		4	3	499	0.6%	No
MYBPHL		2	2	499	0.4%	No
POFUT1		1	1	499	0.2%	No
FNTB		1	1	499	0.2%	No
NFATC2IP		1	1	499	0.2%	No
POTED		1	1	499	0.2%	No
TNFRSF8		3	3	499	0.6%	No
NEK1		3	3	499	0.6%	No
POTEE		3	3	499	0.6%	No
MAP3K8		1	1	499	0.2%	No
POTEF		4	4	499	0.8%	No
MAP3K9		12	11	499	2.2%	No
POTEG		2	2	499	0.4%	No
MAP3K7		2	2	499	0.4%	Yes
TNFRSF4		2	2	499	0.4%	No
MAP3K4		3	2	499	0.4%	No
KCNH1		2	2	499	0.4%	No
MAP3K5		2	2	499	0.4%	No
POTEC		13	13	499	2.6%	No
KCNH2		2	2	499	0.4%	No
PIAS4		3	2	499	0.4%	No
PIAS3		2	2	499	0.4%	No
KCNH3		1	1	499	0.2%	No
KCNH4		3	3	499	0.6%	No
KCNH5		5	5	499	1.0%	No
DGAT2		1	1	499	0.2%	No
DGAT1		1	1	499	0.2%	No
FBXW8		1	1	499	0.2%	No
KCNH6		2	2	499	0.4%	No
KCNH7		6	6	499	1.2%	No
STX8		2	1	499	0.2%	No
KCNH8		3	3	499	0.6%	No
FBXO16		2	2	499	0.4%	No
STX7		1	1	499	0.2%	No
FBXW9		1	1	499	0.2%	No
FBXO10		2	2	499	0.4%	No
SRCIN1		1	1	499	0.2%	No
MSH6		3	3	499	0.6%	Yes
NPAS4		2	2	499	0.4%	No
MSH2		2	2	499	0.4%	Yes
DMTF1		4	4	499	0.8%	No
MSH3		9	8	499	1.6%	Yes
MSH4		2	2	499	0.4%	No
MSH5		1	1	499	0.2%	No
PKP2		2	2	499	0.4%	No
PKP1		2	1	499	0.2%	No
PKP4		1	1	499	0.2%	No
BLK		1	1	499	0.2%	No
KCNE2		1	1	499	0.2%	No
KCNE3		2	2	499	0.4%	No
IREB2		4	4	499	0.8%	No
FBXO45		1	1	499	0.2%	No
FBXO46		3	3	499	0.6%	No
FBXO43		2	2	499	0.4%	No
CES5A		1	1	499	0.2%	No
NPAS2		1	1	499	0.2%	No
CCDC144A		3	3	499	0.6%	No
FBXO42		5	4	499	0.8%	No
FBXO40		1	1	499	0.2%	No
RAP1A		1	1	499	0.2%	No
NDOR1		1	1	499	0.2%	No
ZKSCAN7		1	1	499	0.2%	No
ZKSCAN8		1	1	499	0.2%	No
MBIP		1	1	499	0.2%	No
ZKSCAN2		1	1	499	0.2%	No
ZKSCAN5		3	3	499	0.6%	No
CERT1		3	3	499	0.6%	No
ZKSCAN1		2	2	499	0.4%	No
NEK8		1	1	499	0.2%	No
KCNF1		1	1	499	0.2%	No
NOP14		1	1	499	0.2%	No
SDF2L1		2	2	499	0.4%	No
HTR1E		6	6	499	1.2%	No
NEK4		3	2	499	0.4%	No
RASL10A		1	1	499	0.2%	No
NOP16		1	1	499	0.2%	No
API5		1	1	499	0.2%	No
NEK6		1	1	499	0.2%	No
FBXO38		4	4	499	0.8%	No
HTR1D		2	2	499	0.4%	No
FBXO39		2	2	499	0.4%	No
HTR1A		3	3	499	0.6%	No
FBXO36		1	1	499	0.2%	No
FBXO34		3	3	499	0.6%	No
BMX		1	1	499	0.2%	No
FBXO32		1	1	499	0.2%	No
G6PC1		1	1	499	0.2%	No
FBXO30		1	1	499	0.2%	No
FAM90A1		2	2	499	0.4%	No
G6PC2		1	1	499	0.2%	No
SON		3	3	499	0.6%	No
LRCH1		4	4	499	0.8%	No
G6PC3		2	2	499	0.4%	No
SP2		1	1	499	0.2%	No
SP1		2	2	499	0.4%	No
SP4		6	5	499	1.0%	No
SP3		3	3	499	0.6%	No
SP8		5	5	499	1.0%	No
LRCH4		1	1	499	0.2%	No
SLC49A4		4	3	499	0.6%	No
SLC49A3		1	1	499	0.2%	No
BCAR3		3	3	499	0.6%	No
KCNK5		3	3	499	0.6%	No
PIWIL2		4	3	499	0.6%	No
PIWIL1		7	6	499	1.2%	No
KCNK6		1	1	499	0.2%	No
ALAS2		1	1	499	0.2%	No
KCNK7		1	1	499	0.2%	No
BMP10		1	1	499	0.2%	No
ALAS1		3	2	499	0.4%	No
PIWIL3		2	2	499	0.4%	No
ONECUT2		3	3	499	0.6%	Yes
KCNK9		2	2	499	0.4%	No
MTCL1		6	6	499	1.2%	No
MTCL2		3	3	499	0.6%	No
ONECUT1		2	2	499	0.4%	No
MTCL3		4	2	499	0.4%	No
HTR2B		2	2	499	0.4%	No
DYSF		4	2	499	0.4%	No
HTR2C		3	3	499	0.6%	No
PPWD1		1	1	499	0.2%	No
HTR2A		2	2	499	0.4%	No
MSLN		2	2	499	0.4%	No
BICD1		3	3	499	0.6%	No
BICD2		4	3	499	0.6%	No
BMP15		1	1	499	0.2%	No
SPN		1	1	499	0.2%	No
UNC80		3	3	499	0.6%	No
SPR		1	1	499	0.2%	No
OR56B1		1	1	499	0.2%	No
SPDL1		2	2	499	0.4%	No
NEO1		4	3	499	0.6%	No
BCAS2		1	1	499	0.2%	No
BCAS1		1	1	499	0.2%	No
BCAS4		1	1	499	0.2%	No
UNC45A		1	1	499	0.2%	No
CERS3		1	1	499	0.2%	No
SLC36A1		1	1	499	0.2%	No
CERS4		1	1	499	0.2%	No
UNC45B		2	2	499	0.4%	No
CERS5		1	1	499	0.2%	No
SLC36A3		1	1	499	0.2%	No
SLC36A2		3	2	499	0.4%	No
CERS6		1	1	499	0.2%	No
RNASET2		1	1	499	0.2%	No
VPS13C		7	7	499	1.4%	No
DHPS		1	1	499	0.2%	No
VPS13D		13	8	499	1.6%	No
VPS13A		4	3	499	0.6%	No
MSL2		1	1	499	0.2%	No
HTR3C		1	1	499	0.2%	No
VPS13B		11	8	499	1.6%	No
HTR3B		1	1	499	0.2%	No
RABGGTA		1	1	499	0.2%	No
CES4A		3	3	499	0.6%	No
ADAMTS20		8	7	499	1.4%	No
MSL1		1	1	499	0.2%	No
NEMF		2	2	499	0.4%	No
BMP2K		7	7	499	1.4%	No
BPI		2	2	499	0.4%	No
BCAT1		1	1	499	0.2%	No
OR56A4		1	1	499	0.2%	No
GAPDH		1	1	499	0.2%	No
OR56A3		3	3	499	0.6%	No
BCAT2		2	1	499	0.2%	No
CERS2		2	2	499	0.4%	No
OR56A1		2	2	499	0.4%	No
BLTP3A		5	5	499	1.0%	No
PRKAA2		5	5	499	1.0%	No
BLTP3B		3	2	499	0.4%	No
C1S		4	4	499	0.8%	No
UHRF2		1	1	499	0.2%	No
LENG8		5	2	499	0.4%	No
MLLT1		2	2	499	0.4%	Yes
U2AF1		1	1	499	0.2%	Yes
SRI		2	2	499	0.4%	No
MLLT3		2	2	499	0.4%	Yes
MLLT6		3	2	499	0.4%	Yes
